0	212
1	5425
2	28810
3	33368
4	18032
5	8320
6	3377
7	1066
8	440
9	209
10	125
11	103
12	72
13	46
14	38
15	32
16	33
17	21
18	21
19	14
20	15
21	18
22	11
23	11
24	11
25	18
26	10
27	19
28	7
29	25
30	27
31	16
32	9
33	2
34	12
35	3
36	3
37	4
38	2
39	1
40	1
41	2
42	1
43	0
44	1
45	2
46	0
47	0
48	0
49	1
50	1
51	1
52	0
53	1
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
