0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	3347
11	1323
12	300
13	114
14	33
15	6
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	2
27	0
28	0
29	0
30	0
31	1
32	0
33	0
34	1
35	1
36	0
37	0
38	1
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	1
47	1
48	2
49	0
50	3
51	5
52	0
53	5
54	2
55	7
56	9
57	5
58	3
59	1
60	4
61	3
62	2
63	17
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
