Gene_id	T14A	T0A	T0B	T14B
MSTRG.10137	0	0	0	0
MSTRG.10138	0	0	0	0
MSTRG.10139	0	0	0	0
MSTRG.1014	0	0	0	0
MSTRG.10140	0	0	0	0
MSTRG.10141	0	0	0	0
MSTRG.10142	0	0	0	0
MSTRG.10143	0	0	0	0
MSTRG.10144	0	0	0	0
MSTRG.10145	0	0	0	0
MSTRG.10146	0	0	0	0
MSTRG.10147	0	0	0	0
MSTRG.10148	0	0	0	0
MSTRG.10149	0	0	0	0
MSTRG.1015	0	0	0	0
MSTRG.10150	0	0	0	0
MSTRG.10151	0	0	0	0
MSTRG.10152	0	0	0	0
MSTRG.10153	0	0	0	0
MSTRG.10154	0	0	0	0
MSTRG.10155	0	0	0	0
MSTRG.10156	0	0	0	0
MSTRG.10157	0	0	0	0
MSTRG.10158	0	0	0	0
MSTRG.10159	0	0	0	0
MSTRG.1016	0	0	0	0
MSTRG.10160	0	0	0	0
MSTRG.10161	0	0	0	0
MSTRG.10162	0	0	0	0
MSTRG.10163	0	0	0	0
MSTRG.10164	0	0	0	0
MSTRG.10165	0	0	0	0
MSTRG.10166	0	0	0	0
MSTRG.10167	0	0	0	0
MSTRG.10168	0	0	0	0
MSTRG.10169	0	0	0	0
MSTRG.1017	0	0	0	0
MSTRG.10170	0	0	0	0
MSTRG.10171	0	0	0	0
MSTRG.10172	0	0	0	0
MSTRG.10173	0	0	0	0
MSTRG.10174	0	0	0	0
MSTRG.10175	0	0	0	0
MSTRG.10176	0	0	0	0
MSTRG.10177	0	0	0	0
MSTRG.10178	0	0	0	0
MSTRG.10179	0	0	0	0
MSTRG.1018	0	0	0	0
MSTRG.10180	0	0	0	0
MSTRG.10181	0	0	0	0
MSTRG.10182	0	0	0	0
MSTRG.10183	0	0	0	0
MSTRG.10184	0	0	0	0
MSTRG.10185	0	0	0	0
MSTRG.10186	0	0	0	0
MSTRG.10187	0	0	0	0
MSTRG.10188	0	0	0	0
MSTRG.10189	0	0	0	0
MSTRG.1019	0	0	0	0
MSTRG.10190	0	0	0	0
MSTRG.10191	0	0	0	0
MSTRG.10192	0	0	0	0
MSTRG.10193	0	0	0	0
MSTRG.10194	0	0	0	0
MSTRG.10195	0	0	0	0
MSTRG.10196	0	0	0	0
MSTRG.10197	0	0	0	0
MSTRG.10198	0	0	0	0
MSTRG.10199	0	0	0	0
MSTRG.102	0	0	0	0
MSTRG.1020	0	0	0	0
MSTRG.10200	0	0	0	0
MSTRG.10201	0	0	0	0
MSTRG.10202	0	0	0	0
MSTRG.10203	0	0	0	0
MSTRG.10204	0	0	0	0
MSTRG.10205	0	0	0	0
MSTRG.10206	0	0	0	0
MSTRG.10207	0	0	0	0
MSTRG.10208	0	0	0	0
MSTRG.10209	0	0	0	0
MSTRG.1021	0	0	0	0
MSTRG.10210	0	0	0	0
MSTRG.10211	0	0	0	0
MSTRG.10212	0	0	0	0
